Source,Target,Weight
0,0,1
0,1,1
0,2,1
0,4,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,12,1
0,14,1
0,16,1
0,2066,1
0,20,1
0,22,1
0,24,1
0,8196,1
0,26,1
0,28,1
0,30,1
0,32,1
0,34,1
0,36,1
0,38,1
0,40,1
0,2090,1
0,44,1
0,45,1
0,46,1
0,48,1
0,50,1
0,52,1
0,54,1
0,56,1
0,58,1
0,60,1
0,69642,1
0,63,1
0,64,1
0,66,1
0,68,1
0,70,1
0,26446,1
0,72,1
0,69706,1
0,57420,1
0,78,1
0,80,1
0,82,1
0,84,1
0,87,1
0,32856,1
0,90,1
0,92,1
0,94,1
0,96,1
0,131169,1
0,98,1
0,86116,1
0,50534,1
0,6246,1
0,126652,1
0,139370,1
0,2156,1
0,110,1
0,4208,1
0,153714,1
0,47221,1
0,2166,1
0,122,1
0,67946,1
0,36990,1
0,34946,1
0,136,1
0,37004,1
0,189122,1
0,182428,1
0,20634,1
0,82075,1
0,14492,1
0,59418,1
0,129182,1
0,180384,1
0,198250,1
0,14502,1
0,16552,1
0,79900,1
0,18606,1
0,27336,1
0,155830,1
0,100536,1
0,12474,1
0,167052,1
0,37056,1
0,4294,1
0,8392,1
0,8394,1
0,204,1
0,116770,1
0,57550,1
0,4304,1
0,20690,1
0,6862,1
0,214,1
0,4132,1
0,16608,1
0,3451,1
0,59430,1
0,67816,1
0,6382,1
0,162856,1
0,42,1
0,53504,1
0,49536,1
0,258,1
0,6406,1
0,6408,1
0,266,1
0,135554,1
0,69902,1
0,96528,1
0,10514,1
0,4373,1
0,2330,1
0,145694,1
0,35104,1
0,35106,1
0,133510,1
0,168232,1
0,24874,1
0,51504,1
0,4404,1
0,4406,1
0,80184,1
0,2362,1
0,155018,1
0,65858,1
0,76854,1
0,80200,1
0,4430,1
0,336,1
0,343,1
0,117376,1
0,41308,1
0,2406,1
0,38972,1
0,53610,1
0,31086,1
0,16720,1
0,7230,1
0,29046,1
0,92622,1
0,86420,1
